          reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
JF2.1       2226813                  63758                1169498                     0                      1947              2224866
JF3.1       1836745                  57167                 833716                     0                      1287              1835458
JF4.1       1027705                  27333                 679192                     0                      1476              1026229
JFF1.1       707726                  18631                 493438                     0                       885               706841
RK10.1      5210129                 131804                3781203                     0                      6827              5203302
RK11.1     11629426                 301866                8935579                     0                     17941             11611485
RK12.1     10120991                 262821                6280547                     0                     11556             10109435
RK13.1     18915089                 502036               14056120                     0                     28298             18886791
RK14.1      8456072                 213199                6761935                     0                     13948              8442124
RK15.1     10258659                 262652                8076215                     0                     16401             10242258
RK16.1      5369059                 138256                4064354                     0                      8432              5360627
RK17.1      2923836                  74877                2189285                     0                      4407              2919429
RS11.1      1664420                  44854                 984432                     0                      1768              1662652
RS32.1      2071423                  53483                1461091                     0                      3068              2068355
RS33.1      2703792                  71741                1740180                     0                      3393              2700399
UMA1.1      2855500                  79857                1523480                     0                      2980              2852520
UMA10.1     5738593                 148264                3634789                     0                      6882              5731711
UMA101.1    4350817                 113899                2778069                     0                      5375              4345442
UMA104.1    4037797                  99954                3210340                     0                      6241              4031556
UMA13.1     3150889                  78393                2568159                     0                      5496              3145393
UMA14.1    11167822                 293255                8328048                     0                     17742             11150080
UMA15.1     3830994                 101472                2325421                     0                      4375              3826619
UMA16.1     4600027                 112202                3558146                     0                      6980              4593047
UMA17.1     9849879                 245931                9854266                     0                     21125              9828754
UMA18.1     6845818                 170428                5449906                     0                     11618              6834200
UMA19.1     8455921                 215313                6693202                     0                     13858              8442063
UMA2.1      6499010                 166891                4920322                     0                     10170              6488840
UMA20.1    10071794                 243815                8610472                     0                     18237             10053557
UMA21.1     6200108                 154750                4329770                     0                      8612              6191496
UMA22.1    11100519                 280996                8576645                     0                     17942             11082577
UMA23.1    10504819                 263960                8441990                     0                     15702             10489117
UMA24.1    13176068                 331698               10610824                     0                     22514             13153554
UMA25.1    10042572                 252553                7787254                     0                     14624             10027948
UMA26.1     6305916                 156822                5555924                     0                     12385              6293531
UMA3.1      5824367                 164287                3225715                     0                      6099              5818268
UMA33.1      144338                   3804                 109863                     0                       231               144107
UMA34.1     2928524                  76622                2018379                     0                      3898              2924626
UMA35.1     4716769                 118573                3472452                     0                      7064              4709705
UMA36.1     3894596                 104771                2326450                     0                      4180              3890416
UMA37.1     3374498                  90458                2028808                     0                      3548              3370950
UMA38.1    12383044                 308578               10713610                     0                     23637             12359407
UMA39.1     6246154                 151483                5405906                     0                     11032              6235122
UMA4.1      8434077                 218159                5680845                     0                     10950              8423127
UMA40.1     7441719                 187886                6228936                     0                     12947              7428772
UMA41.1    10556896                 266161                8564116                     0                     17847             10539049
UMA42.1     6536179                 162100                5369478                     0                     10984              6525195
UMA44.1     4811447                 120264                3720010                     0                      7481              4803966
UMA45.1     4880057                 121104                3633816                     0                      7221              4872836
UMA46.1     8924351                 225263                6778816                     0                     13993              8910358
UMA47.1     4727128                 121443                3367885                     0                      6463              4720665
UMA48.1     2172105                  54968                1749267                     0                      3695              2168410
UMA49.1     2880423                  72094                2258161                     0                      4852              2875571
UMA5.1      4692214                 123864                2959817                     0                      5456              4686758
UMA50.1     4595289                 115192                3556502                     0                      6994              4588295
UMA51.1     6431394                 163838                4860494                     0                      9749              6421645
UMA52.1     5020722                 128661                3549205                     0                      6782              5013940
UMA53.1     2833835                  71748                2319778                     0                      4746              2829089
UMA55.1    10971967                 271238                8816547                     0                     17740             10954227
UMA56.1    11815439                 297260                9344076                     0                     18353             11797086
UMA57.1     6883687                 172898                5327659                     0                     11397              6872290
UMA59.1     4772874                 118159                3698000                     0                      8226              4764648
UMA6.1      7044353                 185175                4486936                     0                      8461              7035892
UMA60.1     4230935                 107905                3300534                     0                      6773              4224162
UMA62.1    13855540                 350215               11096426                     0                     23724             13831816
UMA63.1     3732593                  96135                2972499                     0                      6273              3726320
UMA64.1     9853743                 242706                8130725                     0                     17308              9836435
UMA65.1     7418202                 188639                5847259                     0                     11807              7406395
UMA66.1     5587515                 141757                4249044                     0                      8405              5579110
UMA67.1     5305413                 136387                4281922                     0                      9534              5295879
UMA68.1     8011181                 200076                6208530                     0                     12893              7998288
UMA69.1     7184542                 186485                5219333                     0                     10596              7173946
UMA7.1      1767549                  47395                1122035                     0                      2411              1765138
UMA70.1     6404487                 161126                5018607                     0                     10634              6393853
UMA71.1     7060888                 179783                5260860                     0                     10517              7050371
UMA72.1     7881152                 201449                6011756                     0                     11752              7869400
UMA73.1     8742641                 216475                7084649                     0                     13826              8728815
UMA74.1     9358346                 239010                6991858                     0                     13114              9345232
UMA76.1     7387481                 187902                5811815                     0                     11686              7375795
UMA77.1     2737172                  69492                2246016                     0                      4805              2732367
UMA78.1    11868864                 309477                8408197                     0                     15554             11853310
UMA79.1     4840158                 121069                3633422                     0                      7227              4832931
UMA8.1      6592610                 176551                4407335                     0                      7998              6584612
UMA80.1     5154221                 131458                4199681                     0                      8637              5145584
UMA81.1     1711255                  42476                1292730                     0                      2536              1708719
UMA82.1     6773587                 172256                5113303                     0                     10092              6763495
UMA9.1      5207436                 137421                3617516                     0                      6977              5200459
