          hetero_est  error_est
JF2.1       0.014120   0.009298
JF3.1       0.014514   0.008876
JF4.1       0.019408   0.012063
JFF1.1      0.022208   0.012232
RK10.1      0.012304   0.007381
RK11.1      0.013650   0.005459
RK12.1      0.013914   0.005927
RK13.1      0.015077   0.004855
RK14.1      0.012914   0.006190
RK15.1      0.013230   0.005729
RK16.1      0.013277   0.006595
RK17.1      0.013067   0.008960
RS11.1      0.016185   0.009396
RS32.1      0.015171   0.009336
RS33.1      0.013013   0.008953
UMA1.1      0.013594   0.007908
UMA10.1     0.012752   0.007109
UMA101.1    0.012890   0.007207
UMA104.1    0.013343   0.008047
UMA13.1     0.013581   0.008928
UMA14.1     0.013359   0.005736
UMA15.1     0.013029   0.007205
UMA16.1     0.012918   0.007587
UMA17.1     0.013403   0.006503
UMA18.1     0.012963   0.007002
UMA19.1     0.014259   0.006191
UMA2.1      0.012575   0.006551
UMA20.1     0.013142   0.006574
UMA21.1     0.012657   0.006522
UMA22.1     0.013683   0.005743
UMA23.1     0.013999   0.006131
UMA24.1     0.013748   0.005694
UMA25.1     0.014774   0.006135
UMA26.1     0.015264   0.007200
UMA3.1      0.012648   0.007168
UMA33.1     0.040068   0.019534
UMA34.1     0.013598   0.008408
UMA35.1     0.012804   0.007277
UMA36.1     0.014548   0.007500
UMA37.1     0.014223   0.007372
UMA38.1     0.013975   0.005776
UMA39.1     0.013172   0.006801
UMA4.1      0.013310   0.006050
UMA40.1     0.012445   0.006454
UMA41.1     0.013299   0.005933
UMA42.1     0.013273   0.006590
UMA44.1     0.012405   0.007002
UMA45.1     0.012518   0.007549
UMA46.1     0.012786   0.005970
UMA47.1     0.012639   0.006576
UMA48.1     0.014966   0.007415
UMA49.1     0.012786   0.007304
UMA5.1      0.012849   0.007310
UMA50.1     0.012654   0.007582
UMA51.1     0.013048   0.006844
UMA52.1     0.012998   0.006634
UMA53.1     0.013866   0.008120
UMA55.1     0.013675   0.005796
UMA56.1     0.013605   0.005749
UMA57.1     0.012195   0.006529
UMA59.1     0.012789   0.007528
UMA6.1      0.012980   0.006135
UMA60.1     0.012501   0.007230
UMA62.1     0.013749   0.005326
UMA63.1     0.013574   0.007645
UMA64.1     0.013907   0.006116
UMA65.1     0.013144   0.006148
UMA66.1     0.012460   0.006960
UMA67.1     0.012964   0.006759
UMA68.1     0.013089   0.006307
UMA69.1     0.013513   0.006163
UMA7.1      0.014858   0.010787
UMA70.1     0.013575   0.006669
UMA71.1     0.013347   0.006573
UMA72.1     0.013381   0.006359
UMA73.1     0.013562   0.006300
UMA74.1     0.012651   0.005708
UMA76.1     0.013604   0.006585
UMA77.1     0.014174   0.008199
UMA78.1     0.012764   0.005574
UMA79.1     0.013029   0.007205
UMA8.1      0.013458   0.006607
UMA80.1     0.013571   0.007502
UMA81.1     0.014746   0.010660
UMA82.1     0.012887   0.006669
UMA9.1      0.012859   0.006986
