        reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
JF2         11245                    868                  10511                     0                        35                11210
JF3          2638                     59                  40364                     0                       187                 2451
JF4          5608                    122                   8711                     0                        31                 5577
JFF1        14789                    339                  16341                     0                        55                14734
PE1          8921                    276                  13234                     0                        50                 8871
PE10        17830                    566                  18719                     1                        61                17768
PE11        23333                    607                  73453                     0                       262                23071
PE12        13084                    486                  14160                     0                        52                13032
PE5          2700                     52                   4441                     0                        19                 2681
PE6          9790                    329                  13685                     0                        52                 9738
PE7         28140                    786                  31103                     0                       102                28038
PE8         21181                   1163                  19935                     1                        60                21120
PE9          7250                    189                   8212                     0                        29                 7221
RK10         7160                    406                   6953                     0                        18                 7142
RK11        13273                    335                  13954                     0                        42                13231
RK12        26983                    820                  20298                     0                        52                26931
RK13        32887                    863                  28293                     0                        73                32814
RK14         1359                     28                   5212                     0                        22                 1337
RK15         2414                     53                   4973                     0                        25                 2389
RK16         1488                     57                   2897                     0                        14                 1474
RK17         7491                    201                   9269                     0                        32                 7459
RS11         1336                     20                   2841                     0                        12                 1324
RS32         1218                     44                   5869                     0                        32                 1186
RS33         6224                    205                  14328                     0                        71                 6153
UMA1        12995                    286                  20364                     0                        73                12922
UMA10         562                     25                   2957                     0                        17                  545
UMA101      17457                    386                  15086                     0                        47                17410
UMA104       5041                    488                  10668                     0                        47                 4994
UMA13       27365                   1205                  27958                     1                        79                27285
UMA14        3401                     62                   8132                     0                        39                 3362
UMA15        7999                    176                  12042                     0                        48                 7951
UMA16        1116                     36                   3042                     0                        14                 1102
UMA17       25610                    163                  17631                     1                        73                25536
UMA18        2582                     51                   7973                     0                        42                 2540
UMA19       32107                    957                  31054                     1                        99                32007
UMA2         6387                    259                   8797                     0                        30                 6357
UMA20        2996                     52                   5573                     0                        22                 2974
UMA21        5750                    141                  11420                     0                        52                 5698
UMA22        1364                     26                   4540                     0                        27                 1337
UMA23        1228                     27                   4060                     0                        21                 1207
UMA24       10215                    455                  14564                     0                        52                10163
UMA25        8484                    218                  12737                     0                        44                 8440
UMA26       12140                    627                  15477                     0                        51                12089
UMA3        18441                    567                  33675                     1                       140                18300
UMA33        1208                     41                   3937                     0                        20                 1188
UMA34        1520                     35                   4031                     0                        22                 1498
UMA35        1698                     41                   7582                     0                        36                 1662
UMA36       17219                    449                  16554                     0                        49                17170
UMA37       10676                    215                  11500                     0                        38                10638
UMA38       28740                    712                  35750                     0                       106                28634
UMA39         558                     18                   2115                     0                        10                  548
UMA4         4219                     70                   6445                     1                        27                 4191
UMA40       19235                    575                  21622                     1                        58                19176
UMA41       13000                    452                  15260                     0                        50                12950
UMA42        8943                    283                  11996                     0                        49                 8894
UMA44        8450                    396                   8628                     0                        30                 8420
UMA45         731                     17                   2483                     0                        12                  719
UMA46        1063                     32                   2586                     0                        13                 1050
UMA47       45940                   1262                 101461                     0                       358                45582
UMA48        9294                    293                  10063                     0                        31                 9263
UMA49        8382                    368                  10357                     0                        38                 8344
UMA5         2340                     25                   3891                     0                        11                 2329
UMA50        2727                     82                   5946                     0                        23                 2704
UMA51       26113                    649                  30882                     0                        94                26019
UMA52       27375                    827                  93031                     0                       315                27060
UMA53        5011                    183                  21622                     0                        50                 4961
UMA55        1293                     32                   2739                     0                        12                 1281
UMA56       19402                    487                  17636                     0                        57                19345
UMA57       20342                    496                  29038                     0                        90                20252
UMA59        3323                     87                  17784                     0                        86                 3237
UMA6         8083                    228                  11076                     0                        35                 8048
UMA60        2214                     90                  15537                     0                        78                 2136
UMA62       34180                    678                  29598                     1                        88                34091
UMA63       27367                    784                  29850                     0                       104                27263
UMA64        1600                     63                   5492                     0                        25                 1575
UMA65       62138                   2110                 241878                     2                      1046                61090
UMA66       20205                    554                  24275                     0                        88                20117
UMA67       17252                    425                  22106                     0                        68                17184
UMA68        2659                     40                   5150                     0                        24                 2635
UMA69       22169                    750                  24197                     0                        72                22097
UMA7          558                     20                   4315                     0                        22                  536
UMA70       27426                    715                  26122                     0                        79                27347
UMA71        9972                    332                  13552                     0                        50                 9922
UMA72       13194                    370                  17756                     0                        57                13137
UMA73        7207                   1166                  15511                     0                        68                 7139
UMA74       11525                    310                  21647                     0                        96                11429
UMA76       12148                    373                  14181                     0                        44                12104
UMA77       11825                    316                 117364                     0                       474                11351
UMA78       18596                    447                  17293                     0                        62                18534
UMA79        6373                    227                   7082                     0                        24                 6349
UMA8        17894                    316                  13985                     0                        42                17852
UMA80        8011                    182                  10854                     0                        41                 7970
UMA81        3844                    109                   7743                     0                        32                 3812
UMA82       10778                    320                  10432                     0                        32                10746
UMA9         9161                    291                  15293                     0                        53                 9108
